Timestamp,Paris Temperature,Paris Relative Humidity,Paris Mean Sea Level Pressure
20200913T0000,17.886375,66.0,1023.8
20200913T0100,16.866377,72.0,1023.8
20200913T0200,16.226376,75.0,1024.4
20200913T0300,15.726377,77.0,1024.4
20200913T0400,15.236376,80.0,1023.8
20200913T0500,14.7663765,81.0,1023.5
20200913T0600,14.336376,83.0,1023.7
20200913T0700,13.906376,84.0,1024.3
20200913T0800,13.836376,83.0,1024.8
20200913T0900,15.116376,78.0,1025.1
20200913T1000,17.036377,71.0,1025.3
20200913T1100,19.866377,63.0,1025.1
20200913T1200,22.496376,51.0,1024.8
20200913T1300,24.236376,42.0,1024.6
20200913T1400,24.416376,37.0,1024.7
20200913T1500,25.706377,33.0,1024.2
20200913T1600,26.776377,31.0,1023.6
20200913T1700,27.576376,29.0,1023.2
20200913T1800,28.016376,27.0,1022.4
20200913T1900,27.866377,28.0,1022.4
20200913T2000,27.316376,29.0,1022.4
20200913T2100,26.496376,30.0,1022.9
20200913T2200,25.496376,30.0,1023.4
20200913T2300,24.046375,30.0,1023.1
20200914T0000,22.106377,33.0,1023.1
20200914T0100,19.926376,39.0,1022.7
20200914T0200,18.016376,46.0,1023.0
20200914T0300,16.506376,52.0,1022.8
20200914T0400,16.036377,52.0,1022.0
20200914T0500,15.576376,51.0,1021.7
20200914T0600,15.186377,52.0,1021.9
20200914T0700,15.116376,55.0,1021.7
20200914T0800,15.406376,62.0,1021.5
20200914T0900,17.426376,65.0,1021.6
20200914T1000,20.476376,63.0,1022.1
20200914T1100,22.966375,58.0,1021.8
20200914T1200,25.716375,51.0,1021.3
20200914T1300,28.136375,44.0,1021.0
20200914T1400,30.216375,37.0,1020.7
20200914T1500,31.356377,31.0,1020.2
20200914T1600,32.166378,27.0,1019.8
20200914T1700,32.656376,24.0,1019.4
20200914T1800,32.716377,23.0,1018.1
20200914T1900,32.376377,24.0,1018.3
20200914T2000,32.186375,23.0,1018.0
20200914T2100,31.566376,22.0,1018.5
20200914T2200,30.296375,24.0,1018.8
20200914T2300,28.626377,27.0,1018.7
20200915T0000,26.756376,29.0,1018.7
20200915T0100,25.616377,30.0,1018.6
20200915T0200,23.766376,34.0,1018.6
20200915T0300,22.196377,39.0,1018.8
20200915T0400,20.636375,45.0,1018.2
20200915T0500,19.656376,49.0,1018.6
20200915T0600,18.016376,57.0,1018.4
20200915T0700,17.146376,62.0,1018.8
20200915T0800,17.196377,61.0,1019.1
20200915T0900,18.946377,57.0,1019.6
20200915T1000,21.336376,54.0,1020.1
20200915T1100,24.126377,50.0,1019.8
20200915T1200,26.836376,44.0,1019.2
20200915T1300,29.616377,37.0,1018.9
20200915T1400,31.796375,30.0,1019.1
20200915T1500,32.896378,25.0,1018.9
20200915T1600,33.046375,24.0,1017.9
20200915T1700,32.896378,26.0,1016.9
20200915T1800,32.566376,28.0,1016.2
20200915T1900,32.176376,32.0,1016.7
20200915T2000,31.266376,31.0,1016.9
20200915T2100,30.486376,32.0,1017.2
20200915T2200,29.776377,34.0,1017.3
20200915T2300,28.896376,36.0,1017.8
20200916T0000,27.776377,39.0,1018.1
20200916T0100,22.546375,57.0,1019.1
20200916T0200,20.486376,69.0,1019.1
20200916T0300,19.656376,74.0,1019.1
20200916T0400,19.406376,77.0,1018.9
20200916T0500,19.396376,76.0,1019.0
20200916T0600,19.136375,77.0,1018.6
20200916T0700,18.476376,78.0,1019.7
20200916T0800,18.076376,78.0,1019.8
20200916T0900,19.306376,72.0,1019.6
20200916T1000,21.016376,68.0,1020.2
20200916T1100,23.066376,63.0,1020.4
20200916T1200,25.216375,56.0,1020.1
20200916T1300,27.286377,50.0,1019.7
20200916T1400,29.146376,45.0,1019.4
20200916T1500,30.476376,39.0,1018.8
20200916T1600,31.076376,36.0,1018.4
20200916T1700,31.166376,33.0,1018.3
20200916T1800,30.966375,30.0,1018.4
20200916T1900,30.396376,32.0,1018.7
20200916T2000,28.966375,36.0,1018.7
20200916T2100,27.436377,42.0,1019.1
20200916T2200,26.446377,49.0,1019.9
20200916T2300,24.926376,58.0,1020.6
20200917T0000,24.186377,61.0,1021.4
20200917T0100,23.236376,62.0,1021.6
20200917T0200,22.216375,63.0,1022.1
20200917T0300,20.866377,65.0,1022.3
20200917T0400,19.436377,69.0,1022.6
20200917T0500,18.336376,76.0,1022.5
20200917T0600,17.426376,83.0,1022.8
20200917T0700,17.026377,87.0,1022.8
20200917T0800,16.556376,88.0,1023.3
20200917T0900,16.466375,83.0,1023.4
20200917T1000,18.066376,72.0,1023.6
20200917T1100,20.056376,63.0,1024.0
20200917T1200,22.036377,55.0,1023.7
20200917T1300,23.956377,48.0,1023.0
20200917T1400,25.556376,41.0,1022.4
20200917T1500,26.376377,36.0,1021.7
20200917T1600,26.656376,32.0,1021.3
20200917T1700,26.496376,30.0,1020.8
20200917T1800,25.936377,31.0,1020.2
20200917T1900,25.206377,31.0,1019.9
20200917T2000,23.746376,33.0,1020.2
20200917T2100,21.986376,35.0,1021.1
20200917T2200,20.456377,38.0,1021.4
20200917T2300,19.166376,42.0,1021.3
20200918T0000,18.156376,46.0,1021.5
20200918T0100,17.266376,51.0,1021.3
20200918T0200,16.486376,56.0,1021.1
20200918T0300,15.896377,58.0,1020.6
20200918T0400,15.116376,61.0,1020.1
20200918T0500,14.276376,64.0,1019.9
20200918T0600,13.596376,68.0,1018.7
20200918T0700,13.096376,71.0,1018.9
20200918T0800,12.906376,74.0,1019.5
20200918T0900,13.986376,73.0,1019.3
20200918T1000,15.836376,68.0,1019.4
20200918T1100,18.326376,61.0,1018.6
20200918T1200,21.306376,54.0,1018.1
20200918T1300,24.096376,48.0,1018.0
20200918T1400,26.386375,43.0,1016.8
20200918T1500,27.686377,39.0,1016.2
20200918T1600,28.336376,38.0,1015.3
20200918T1700,28.686377,37.0,1015.0
20200918T1800,28.676376,38.0,1014.3
20200918T1900,28.436377,39.0,1014.2
20200918T2000,27.146376,43.0,1013.3
20200918T2100,25.926376,45.0,1013.3
20200918T2200,24.856377,48.0,1013.8
20200918T2300,23.876377,51.0,1013.0
20200919T0000,23.176376,54.0,1012.9
20200919T0100,22.726376,56.0,1013.1
20200919T0200,22.236376,58.0,1013.5
20200919T0300,21.416376,60.0,1013.3
20200919T0400,21.546375,60.0,1013.4
20200919T0500,21.646376,60.0,1013.5
20200919T0600,20.956377,63.0,1013.4
20200919T0700,20.056376,69.0,1014.1
20200919T0800,20.196377,72.0,1014.6
20200919T0900,20.586376,73.0,1014.0
20200919T1000,22.956377,64.0,1013.9
20200919T1100,24.646376,57.0,1014.1
20200919T1200,26.156376,52.0,1013.8
20200919T1300,27.066376,49.0,1013.0
20200919T1400,27.376377,46.0,1013.3
20200919T1500,28.276377,42.0,1012.7
20200919T1600,28.516376,40.0,1011.9
20200919T1700,28.736376,39.0,1011.9
20200919T1800,28.756376,37.0,1011.4
20200919T1900,28.516376,37.0,1011.6
20200919T2000,27.756376,39.0,1011.5
20200919T2100,26.676376,44.0,1012.0
20200919T2200,25.746376,50.0,1012.7
20200919T2300,23.956377,60.0,1012.9
20200920T0000,22.416376,69.0,1013.4
20200920T0100,21.446377,75.0,1013.7
20200920T0200,20.266376,81.0,1013.5
20200920T0300,19.576376,83.0,1014.0
20200920T0400,19.036377,83.0,1013.6
20200920T0500,18.506376,83.0,1013.5
20200920T0600,18.066376,82.0,1013.5
20200920T0700,17.726376,84.0,1013.4
20200920T0800,17.616377,85.0,1013.9
20200920T0900,18.506376,82.0,1014.0
20200920T1000,20.066376,77.0,1014.5
20200920T1100,21.616377,72.0,1013.9
20200920T1200,23.286377,65.0,1013.8
20200920T1300,24.996376,58.0,1013.7
20200920T1400,26.516376,52.0,1013.5
20200920T1500,27.486376,47.0,1013.3
20200920T1600,28.026377,44.0,1013.2
20200920T1700,27.536377,45.0,1013.7
20200920T1800,26.766376,48.0,1014.0
20200920T1900,26.226376,49.0,1014.3
20200920T2000,25.566376,52.0,1014.2
20200920T2100,25.176376,53.0,1014.6
20200920T2200,24.706377,54.0,1015.2
20200920T2300,23.316376,57.0,1015.4
